"File","OriginalBytes","WebPBytes","SavedBytes","Status"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2467.jpg","12702933","1224634","11478299","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2469.jpg","14832322","1879948","12952374","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2470.jpg","10214425","1264228","8950197","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2474.jpg","13310778","1423648","11887130","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2476.jpg","12687932","1330234","11357698","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2477.jpg","12438953","1412954","11025999","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2479.jpg","13156958","1443274","11713684","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2480.jpg","13477624","1454978","12022646","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2484.jpg","16515526","2224658","14290868","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2489.jpg","14401134","1525998","12875136","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2499.jpg","12612837","1871534","10741303","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2502.jpg","12995440","1953148","11042292","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2509.jpg","14699574","1847720","12851854","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2513.jpg","14717071","1819736","12897335","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2517.jpg","12749979","1499368","11250611","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2518.jpg","12782231","1495022","11287209","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2518-2.jpg","12304552","1268470","11036082","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2523.jpg","16557201","2254090","14303111","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2532.jpg","15137436","1789012","13348424","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2534.jpg","12912652","1687090","11225562","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2535.jpg","12913057","1696928","11216129","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2545.jpg","14059423","1800204","12259219","Converted"
